dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds,accuracy_mean_rep_ridge,accuracy_std_rep_ridge,accuracy_mean_rep_logreg,accuracy_std_rep_logreg,delta_mean
ProximalPhalanxOutlineCorrect,0.89896907,0.00763268,8.56,3.21,0.8996563573883162,0.005912251042640978,,,-0.0006872873883161379
ProximalPhalanxTW,0.81609756,0.00652436,5.97,2.39,0.8087804878048781,0.008104023280895661,,,0.007317072195121899
RefrigerationDevices,0.53466667,0.01112,31.19,29.48,0.5173333333333332,0.010119288512538814,,,0.01733333666666681
ScreenType,0.4856,0.01435769,30.89,29.18,0.5061333333333333,0.010851727973000441,,,-0.020533333333333348
ShapeletSim,1.0,0.0,1.71,9.96,1.0,0.0,,,0.0
ShapesAll,0.90816667,0.00199536,36.43,33.63,0.9076666666666666,0.0024944382578493073,,,0.000500003333333332
SmallKitchenAppliances,0.82133333,0.00547948,30.63,29.05,0.7781333333333332,0.0071355136854717996,,,0.04319999666666674
SonyAIBORobotSurface1,0.92412646,0.00343692,0.6,5.45,0.9252911813643925,0.0029248578754154627,,,-0.0011647213643924959
SonyAIBORobotSurface2,0.91636936,0.00247574,0.92,8.23,0.9162644281217208,0.0013920775615342486,,,0.00010493187827920192
StarLightCurves,0.98107091,0.00056212,112.08,863.11,0.9810466245750364,0.00030931858190522355,,,2.4285424963577107e-05
Strawberry,0.98189189,0.00130553,18.57,9.86,0.981891891891892,0.0012385339716097247,,,-1.8918919764132625e-09
SwedishLeaf,0.96592,0.00239109,9.84,9.4,0.9681599999999999,0.0015094369811290526,,,-0.0022399999999999087
Symbols,0.97457286,0.00048547,1.8,43.67,0.9737688442211055,0.0010492770360714197,,,0.0008040157788944402
SyntheticControl,0.997,0.00245955,3.86,2.68,0.9946666666666667,0.0016329931618554896,,,0.0023333333333332984
ToeSegmentation1,0.97017544,0.00277393,1.93,7.25,0.9631578947368423,0.004884003827043894,,,0.007017545263157676
ToeSegmentation2,0.92615385,0.00973009,2.02,5.16,0.9276923076923078,0.0051024996774698544,,,-0.0015384576923078708
Trace,1.0,0.0,3.9,3.35,1.0,0.0,,,0.0
TwoLeadECG,0.99912204,0.0,0.77,11.51,0.9991220368744512,0.0,,,3.1255488197601267e-09
TwoPatterns,1.0,0.0,19.33,56.99,1.0,0.0,,,0.0
UWaveGestureLibraryAll,0.97571189,0.00041617,93.84,357.07,0.9756560580681184,0.0008631839661496583,,,5.58319318816336e-05
UWaveGestureLibraryX,0.85463428,0.00156298,35.56,122.78,0.8535734226689001,0.0012500621539496503,,,0.0010608573310998404
UWaveGestureLibraryY,0.77289224,0.00216747,34.95,121.38,0.7801786711334449,0.001943016487024589,,,-0.007286431133444848
UWaveGestureLibraryZ,0.79165271,0.00155186,35.6,122.8,0.7923764311644792,0.001704350127860055,,,-0.000723721164479163
Wafer,0.99826411,0.00025422,21.66,102.36,0.9976638546398444,0.0005291858024107546,,,0.0006002553601556215
Wine,0.80740741,0.01990681,2.17,1.75,0.8222222222222222,0.023715274953455007,,,-0.01481481222222214
WordSynonyms,0.75517241,0.00360464,9.43,19.01,0.7501567398119123,0.0027328520022198606,,,0.005015670188087684
Worms,0.72727273,0.00865801,18.37,7.72,0.7233766233766235,0.005951397006436158,,,0.003896106623376583
WormsTwoClass,0.7987013,0.01402758,18.36,7.75,0.7961038961038961,0.005951397006436158,,,0.002597403896103856
Yoga,0.90853333,0.00423449,15.19,136.24,0.9046666666666667,0.0030912061651652356,,,0.003866663333333298
ACSF1,0.878,0.01032796,16.88,16.21,0.8879999999999999,0.0040000000000000036,,,-0.009999999999999898
AllGestureWiimoteX,0.76185714,0.00323319,52.12,8.53,0.7114285714285715,0.004989785484735133,,,0.05042856857142852
AllGestureWiimoteY,0.76171429,0.01728512,50.64,18.43,0.7649499284692418,0.003946527675002486,,,-0.003235638469241797
AllGestureWiimoteZ,0.74914286,0.00495787,47.86,9.37,0.7058571428571428,0.005974435333236144,,,0.043285717142857116
BME,1.0,0.0,1.27,2.61,1.0,0.0,,,0.0
Chinatown,0.98017493,0.00122926,0.91,1.61,0.9825072886297376,0.0,,,-0.0023323586297375742
Crop,0.75020833,0.00153106,184.75,89.49,0.7555535714285714,0.0011724981808629898,,,-0.005345241428571401
DodgerLoopDay,0.57625,0.01811422,3.61,2.65,0.5683544303797469,0.020761037299818652,,,0.007895569620253173
DodgerLoopGame,0.87246377,0.01090975,1.56,4.23,0.8676470588235293,1.1102230246251565e-16,,,0.004816711176470645
DodgerLoopWeekend,0.97246377,0.00571602,1.57,4.32,0.9698529411764705,0.0022058823529411686,,,0.0026108288235294763
EOGHorizontalSignal,0.64088398,0.00664006,45.04,42.58,0.6348066298342542,0.00728779334711213,,,0.006077350165745843
EOGVerticalSignal,0.54226519,0.00930429,49.63,47.86,0.5370165745856353,0.00527038232827041,,,0.00524861541436461
